image	latitude	longitude	altitude		yaw	pitch	roll
R1011073.JPG	-27.1187531678	-109.3003306258	505.346		298.8	5.2	-2.1
R1011074.JPG	-27.1181048012	-109.3012825393	511.541		298.8	8.1	2.0
R1011075.JPG	-27.1175356798	-109.3022131413	508.583		298.6	7.4	4.2
R1011076.JPG	-27.1169529763	-109.3031693319	509.903		299.5	7.1	1.7
R1011077.JPG	-27.1163501060	-109.3040995265	510.530		296.3	4.9	-0.6
R1011078.JPG	-27.1157432234	-109.3050998498	507.132		296.3	3.5	-0.4
R1011079.JPG	-27.1171425604	-109.3055404297	503.841		118.3	5.1	0.7
R1011080.JPG	-27.1177258834	-109.3045178641	503.017		121.2	2.9	1.8
R1011081.JPG	-27.1183205951	-109.3035821555	502.824		123.4	7.2	0.3
R1011082.JPG	-27.1189370132	-109.3026228641	502.146		123.5	3.8	1.8
R1011083.JPG	-27.1195525669	-109.3017064716	505.758		122.0	3.8	5.1
R1011084.JPG	-27.1201951513	-109.3007295283	506.552		122.8	8.3	-2.8
R1011085.JPG	-27.1207863930	-109.2997804033	504.859		120.2	6.8	0.7
R1011086.JPG	-27.1213736465	-109.2988077051	508.103		121.7	6.7	1.5
R1011087.JPG	-27.1219446773	-109.2978788477	506.097		122.8	6.3	1.1
R1011088.JPG	-27.1225562751	-109.2969177793	503.677		115.8	6.7	3.0
R1011089.JPG	-27.1231288951	-109.2959838022	509.639		122.2	4.4	0.0
R1011090.JPG	-27.1237767007	-109.2949633010	508.316		122.2	5.3	1.2
R1011091.JPG	-27.1243427719	-109.2940413097	510.422		121.5	13.8	0.9
R1011092.JPG	-27.1249596751	-109.2930625016	519.044		122.2	4.6	2.5
R1011093.JPG	-27.1255861325	-109.2921126517	512.860		121.4	5.4	0.5
R1011094.JPG	-27.1261895495	-109.2911078584	509.808		121.3	12.7	0.1
R1011095.JPG	-27.1267376687	-109.2901550105	517.896		119.6	2.7	0.9
R1011096.JPG	-27.1273190022	-109.2891984074	514.192		121.6	5.7	0.7
R1011097.JPG	-27.1279101037	-109.2882145792	511.584		121.2	6.1	-0.2
R1011098.JPG	-27.1284857249	-109.2872853467	507.146		124.0	4.2	2.3
R1011099.JPG	-27.1294333417	-109.2886468841	506.472		302.9	9.3	-0.5
R1011100.JPG	-27.1287896546	-109.2895703358	511.052		301.8	3.0	0.3
R1011101.JPG	-27.1281819425	-109.2904809490	512.141		297.2	7.6	1.7
R1011102.JPG	-27.1275905273	-109.2914584413	508.195		298.2	2.8	2.1
R1011103.JPG	-27.1270053375	-109.2923833589	512.882		297.0	5.4	-2.1
R1011104.JPG	-27.1263845032	-109.2934234864	509.824		296.4	9.3	1.3
R1011105.JPG	-27.1258207520	-109.2943706044	515.861		298.0	4.0	-0.3
R1011106.JPG	-27.1252032929	-109.2953603136	509.145		298.2	4.0	0.9
R1011107.JPG	-27.1246255568	-109.2962765764	506.146		297.0	2.7	0.7
R1011108.JPG	-27.1240281758	-109.2972456324	502.402		297.6	8.3	-0.3
R1011109.JPG	-27.1234555159	-109.2982346355	509.767		298.3	6.9	0.6
R1011110.JPG	-27.1228329102	-109.2991914488	508.172		298.5	7.3	-0.5
R1011111.JPG	-27.1222029812	-109.3001855012	499.263		295.7	6.8	-4.0
R1011112.JPG	-27.1216675219	-109.3011605305	506.020		294.9	3.8	2.7
R1011113.JPG	-27.1210755018	-109.3020581646	506.661		301.7	3.9	1.0
R1011114.JPG	-27.1204151724	-109.3030137426	503.202		298.7	6.1	-1.9
R1011115.JPG	-27.1198671573	-109.3039430096	507.859		295.3	4.6	0.9
R1011116.JPG	-27.1192531879	-109.3049588673	505.449		297.2	5.8	-0.6
R1011117.JPG	-27.1187000364	-109.3058757046	508.798		297.1	5.8	-0.5
R1011118.JPG	-27.1180689058	-109.3068912608	506.785		299.3	6.8	0.0
